time	V(N004,N003)
1.450536709589637e-003	3.784058e-001
1.454781104661152e-003	-4.818846e-001
1.459041191287689e-003	-1.301289e+000
1.464682488464844e-003	-2.248079e+000
1.468663938213989e-003	-2.788337e+000
1.470766335333374e-003	-3.004009e+000
1.472332204989906e-003	-3.121792e+000
1.474123668510045e-003	-3.214790e+000
1.476174005643037e-003	-3.271273e+000
1.478410986367613e-003	-3.262842e+000
1.482037802982800e-003	-3.104159e+000
1.486745708344655e-003	-2.667626e+000
1.492952932189184e-003	-1.782633e+000
1.498462677655867e-003	-7.881383e-001
1.502848947737227e-003	8.998865e-002
1.507304625065979e-003	9.775267e-001
1.512076186574382e-003	1.831104e+000
1.517647719233630e-003	2.661428e+000
1.520023269864834e-003	2.935424e+000
1.521774865268998e-003	3.083221e+000
1.523449564167473e-003	3.185370e+000
1.525281676302450e-003	3.256925e+000
1.526958649503783e-003	3.279702e+000
1.529686201225412e-003	3.223427e+000
1.534088267082738e-003	2.939452e+000
1.539515173417175e-003	2.308919e+000
1.545847233356580e-003	1.280046e+000
1.550536778378734e-003	3.783919e-001
1.554781171409973e-003	-4.818980e-001
1.559041255253282e-003	-1.301301e+000
1.564682578939504e-003	-2.248093e+000
1.568663969883046e-003	-2.788341e+000
1.570766358644097e-003	-3.004011e+000
1.572332222533222e-003	-3.121794e+000
1.574123689827009e-003	-3.214791e+000
1.576174013586456e-003	-3.271273e+000
1.578410999288457e-003	-3.262842e+000
1.582037823836311e-003	-3.104157e+000
1.586745727480534e-003	-2.667623e+000
1.592952958071949e-003	-1.782629e+000
1.598462691316793e-003	-7.881357e-001
1.602848958876064e-003	8.999091e-002
1.607304633347514e-003	9.775282e-001
1.612076201128966e-003	1.831106e+000
1.617647726206934e-003	2.661429e+000
1.620023274928436e-003	2.935425e+000
1.621774869053541e-003	3.083221e+000
1.623449568722486e-003	3.185370e+000
1.625281684390113e-003	3.256926e+000
1.626958662672279e-003	3.279701e+000
1.629686222605340e-003	3.223426e+000
1.634088301317949e-003	2.939448e+000
1.639515216777832e-003	2.308913e+000
1.645847278927681e-003	1.280038e+000
